date,open,high,low,close,volume
2020-05-05 16:00:00,101.1786,101.72,101.015,101.22,1911915
2020-05-05 16:15:00,101.06,103.12,99.26,101.88,825134
2020-05-05 16:30:00,101.99,103.3899,101.06,102.0,540019
2020-05-05 16:45:00,101.95,103.2,98.23,98.75,978110
2020-05-05 17:00:00,98.75,101.06,98.51,100.2,753067
2020-05-05 17:15:00,100.2,100.77,97.72,97.8,842428
2020-05-05 17:30:00,97.76,98.95,97.52,98.8,455572
2020-05-05 17:45:00,98.8,98.94,98.32,98.65,215299
2020-05-05 18:00:00,98.69,98.89,98.54,98.84,122458
2020-05-05 18:15:00,98.84,98.86,98.55,98.69,52682
2020-05-05 18:30:00,98.69,98.83,98.51,98.51,70185
2020-05-05 18:45:00,98.51,98.51,98.3,98.33,56237
2020-05-05 19:00:00,98.4,98.4,98.11,98.3,41753
2020-05-05 19:15:00,98.3,98.3,98.21,98.26,37093
2020-05-05 19:30:00,98.3,98.75,98.25,98.75,38669
2020-05-05 19:45:00,98.7,98.86,98.61,98.8,36629
2020-05-05 20:00:00,98.85,98.96,98.8,98.95,63755
2020-05-06 04:15:00,99.25,100.4,99.25,100.4,6191
2020-05-06 04:30:00,100.35,100.49,100.31,100.49,1441
2020-05-06 04:45:00,100.31,100.49,100.3,100.3,5410
2020-05-06 05:00:00,100.23,100.23,99.87,99.87,4774
2020-05-06 05:15:00,100.0,100.0,99.87,99.87,2517
2020-05-06 05:30:00,99.91,99.99,99.6,99.6,2037
2020-05-06 05:45:00,99.65,99.8,99.65,99.7,861
2020-05-06 06:00:00,99.77,99.8,99.2,99.48,5958
2020-05-06 06:15:00,99.35,99.52,99.25,99.51,2345
2020-05-06 06:30:00,99.69,99.72,99.4,99.5,4664
2020-05-06 06:45:00,99.5,99.5,99.5,99.5,125
2020-05-06 07:00:00,99.75,99.75,99.5,99.5,3775
2020-05-06 07:15:00,99.55,99.7,98.62,99.24,35754
2020-05-06 07:30:00,99.25,99.33,98.83,99.33,12512
2020-05-06 07:45:00,99.3,99.5,99.1,99.5,14349
2020-05-06 08:00:00,99.48,100.0,99.48,99.85,59479
2020-05-06 08:15:00,98.8001,100.49,98.65,100.3995,183592
